subject,from,snippet,gmail_category,true_label
"Before accepting that offer, read this",Naukri MINIs <info@minis.naukri.com>,"Hey Krithik, The offer looks good. Salary? Decent. Role? Sounds fine. So you say yes. But pause - Did you ask what happens after 6 months? Is the role exactly what was promised? Is everything actually",CATEGORY_PERSONAL,0
Incase you missed the latest new resource added!,'Udemy Instructor: ExpertEase Global' <no-reply@e.udemymail.com>,"New Educational Announcement Hi Krithik Shyaam, an announcement has been made from ExpertEase, instructor of AI Chatbots & Virtual Agents (Build AI Agents in Minutes). Dear Learners, In case you",CATEGORY_UPDATES,0
New skill available: Puzzle solving,LinkedIn <messages-noreply@linkedin.com>,LinkedIn puzzles are heating up. 30 connections finished.,CATEGORY_SOCIAL,0
Last Chance! 78% OFF - Flash Deal Ending Soon,Bitdefender <bitdefender@hello.bitdefender.com>,Lock in premium protection before it's gone. FLASH SALE - LIMITED TIME Your security. Seriously upgraded. Complete protection across every device - pick the plan that fits. UP TO 78% OFF PLANS ON,CATEGORY_PROMOTIONS,0
on_redemption mentioned you in Infinix Community,Discord <noreply@discord.com>,You have 1 new message poll View messages Need help? Contact our support team or hit us up on X @discord. Want to give us feedback? Let us know what you think on our feedback site. Enable notifications,CATEGORY_UPDATES,0
"Two Creative Courses, One Amazing Offer Limited Time",'Udemy Instructor: Sayman Creative Institute' <no-reply@e.udemymail.com>,"New Promotional Announcement Hi Krithik Shyaam, an announcement has been made from Sayman Creative, instructor of Figma for User Interface and User Experience UIUX Design and Pro Photo Editing With",CATEGORY_UPDATES,0
Master CapCut and Canva - Limited-Time Offer,'Udemy Instructor: Learnify IT' <no-reply@e.udemymail.com>,"New Promotional Announcement Hi Krithik Shyaam, an announcement has been made from Learnify, instructor of Figma Essential for User Interface and User Experience UI UX. Hello, Take your social media",CATEGORY_UPDATES,0
"6 Creative Skills, 1 Course: Master Design and Video",'Udemy Instructor: Zechariah Tech' <no-reply@e.udemymail.com>,"New Promotional Announcement Hi Krithik Shyaam, an announcement has been made from Zechariah, instructor of Complete Video Editing BootCamp Beginner to Advanced and Complete Graphics Design and Video",CATEGORY_UPDATES,0
Build a Modern Construction Website Using HTML CSS And JavaScript,'Going To Internet (via Patreon)' <goingtointernetoficial@creator.patreon.com>,"Going To Internet Build a Modern Construction Website Using HTML CSS And JavaScript Build a Modern Construction Website Using HTML CSS And JavaScript Modern Responsive Construction Website with HTML,",CATEGORY_UPDATES,0
Protect your right to avoid spam calls from 1600-series numbers.,Truecaller <hello@updates.truecaller.com>,7.4 crore spam calls blocked in 8 months. Sign the petition to stop the misuse for good. Sign the Petition 1 Lakh+ people block 1600 numbers every single day 8 Months is all it took to reach 7.4 crore,CATEGORY_UPDATES,0
Your order has shipped!,Amazon.in <shipment-tracking@amazon.in>,Your package with AirPods Pro is on its way and will be delivered by tomorrow 9 PM. Track your package for real-time updates.,CATEGORY_UPDATES,0
Reset your password,GitHub <noreply@github.com>,"We received a request to reset the password for your GitHub account. If you didn't request this, you can safely ignore this email.",CATEGORY_UPDATES,0
Your Zoom meeting starts in 15 minutes,Zoom <no-reply@zoom.us>,Reminder: Team Standup is starting soon. Join using the link below.,CATEGORY_UPDATES,0
Payment receipt for your Netflix subscription,Netflix <info@mailer.netflix.com>,Thanks for being a member. Here is your receipt for this month's subscription charge of Rs 649.,CATEGORY_UPDATES,0
Your Google Drive storage is almost full,Google <no-reply@accounts.google.com>,You're using 95% of your storage. Upgrade to Google One to keep backing up your photos and files.,CATEGORY_UPDATES,0
New sign-in to your account,LinkedIn <security-noreply@linkedin.com>,"We noticed a new sign-in to your LinkedIn account from a Chrome browser on Windows. If this was you, no action is needed.",CATEGORY_UPDATES,0
Your flight itinerary confirmation,IndiGo <noreply@goindigo.in>,Your booking for flight 6E 204 from Chennai to Bengaluru on Aug 5 is confirmed. Check-in opens 48 hours before departure.,CATEGORY_UPDATES,0
Weekly newsletter: What's new in AI,Towards Data Science <hello@towardsdatascience.com>,"This week's top picks on machine learning, LLMs, and data science from our writers.",CATEGORY_UPDATES,0
Your invoice from Figma,Figma <billing@figma.com>,Your monthly invoice is ready. Amount charged: $12.00 for the Professional plan.,CATEGORY_UPDATES,0
Team meeting notes shared with you,Notion <notifications@notion.so>,"Krithik shared ""Q3 Planning Notes"" with you. Click to view the page.",CATEGORY_UPDATES,0
"Congratulations! You've won a $1,000,000 lottery prize",Global Lottery Commission <claims@lucky-winner-payout.info>,"You have been selected as the winner of our international lottery draw. To claim your prize, send your full name, address, and a processing fee of $50 via Western Union immediately.",,1
URGENT: Your account will be suspended in 24 hours,Security Team <security-alert@paypa1-verify.com>,We detected unusual activity on your account. Verify your identity now by clicking the link below or your account will be permanently suspended.,,1
Get rich with Bitcoin - guaranteed 300% returns in 7 days,Crypto Wealth Club <invest@crypto-moon-profits.biz>,"Join thousands who are already making millions with our secret trading algorithm. Limited spots available, act now!",,1
"She wants to meet you tonight, single women in your area",LoveConnect <singles@hot-meet-now.date>,"Beautiful singles near you are waiting to chat. Click here to view profiles, no credit card required.",,1
Your package could not be delivered - action required,Delivery Notice <no-reply@parcel-tracking-update.com>,We attempted to deliver your package but failed. Pay a small redelivery fee of $2.99 to reschedule delivery immediately.,,1
Buy cheap Viagra online - 80% off today only,PharmaDeals <sales@discount-meds-online.ru>,"No prescription needed! Fast, discreet shipping worldwide. Order now and save big on all medications.",,1
You have been selected for a free iPhone 15 Pro,Rewards Center <rewards@claim-your-prize-now.top>,Congratulations! You are today's lucky winner. Click here to claim your free iPhone before this offer expires in 10 minutes.,,1
Final notice: Unpaid invoice #38291 attached,Billing Dept <invoice@urgent-payment-notice.com>,Your invoice is overdue. Open the attached file immediately to avoid legal action and late fees.,,1
"Work from home and earn $5000/week, no experience needed",Easy Money Now <jobs@quick-cash-offers.net>,Start earning today! No experience required. Just fill out this form and provide your bank details to get started.,,1
I am a Nigerian prince and need your help transferring $10 million,Prince Adebayo <prince.adebayo@royal-transfer-fund.com>,I am writing to seek your assistance in transferring a large sum of money out of my country. You will receive 30% of the total amount for your help.,,1
